,CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,SEATLOC,AGE,HEIGHT,WEIGHT,SEX,FETALMORT,ROLE,EYEWEAR,POSTURE,BELTUSE
26,6122,13,3,1-13-2017-003-09,9,1,2,21,2,76,14,2,8,2,0,0,4
27,6122,13,3,1-13-2017-003-09,9,2,1,11,25,999,999,1,8,1,9,99,4
28,6122,13,3,1-13-2017-003-09,9,2,2,13,25,999,999,2,8,2,9,99,4
29,6093,23,2,1-23-2017-002-07,7,1,1,11,30,183,91,1,8,1,1,99,99
30,6121,13,2,1-13-2017-002-03,3,1,1,11,36,185,100,1,8,1,0,0,4
31,6121,13,2,1-13-2017-002-03,3,2,1,11,32,178,79,1,8,1,9,99,4
32,6117,17,2,1-17-2017-002-09,9,1,1,11,17,999,999,1,8,1,9,99,0
33,6124,31,1,1-31-2017-001-10,10,1,1,11,26,999,999,1,8,1,9,99,99
34,6137,33,1,1-33-2017-001-05,5,1,1,11,72,163,55,2,8,1,0,0,0
35,6131,22,1,1-22-2017-001-02,2,1,1,11,85,172,86,1,8,1,1,0,4
36,6131,22,1,1-22-2017-001-02,2,1,2,13,82,137,86,2,8,2,1,0,4
37,6131,22,1,1-22-2017-001-02,2,2,1,11,43,185,91,1,8,1,0,0,4
38,6131,22,1,1-22-2017-001-02,2,2,2,13,45,155,64,2,8,2,1,0,4
39,6140,20,2,1-20-2017-002-03,3,1,1,11,21,160,73,2,8,1,9,99,4
40,6140,20,2,1-20-2017-002-03,3,1,2,13,18,170,85,2,8,2,9,99,4
41,6142,15,1,1-15-2017-001-02,2,1,1,11,62,999,999,2,8,1,9,99,99
42,6142,15,1,1-15-2017-001-02,2,2,1,11,44,163,102,2,8,1,0,0,4
43,6148,28,1,1-28-2017-001-04,4,1,1,11,16,180,82,1,8,1,3,0,4
44,6129,18,1,1-18-2017-001-10,10,1,1,11,25,173,107,1,8,1,1,0,4
45,6144,26,1,1-26-2017-001-10,10,1,1,11,45,168,68,2,8,1,0,0,4
46,6144,26,1,1-26-2017-001-10,10,1,2,23,7,999,999,2,8,2,9,0,4
47,6144,26,1,1-26-2017-001-10,10,2,1,11,19,183,73,1,8,1,0,0,4
48,6101,32,2,1-32-2017-002-02,2,1,1,11,72,191,127,1,8,1,1,0,4
49,6101,32,2,1-32-2017-002-02,2,1,2,23,27,150,73,2,8,2,3,0,4
50,6104,16,3,1-16-2017-003-05,5,2,1,11,54,155,66,2,8,1,1,0,4
51,6150,10,1,1-10-2017-001-09,9,1,1,11,25,170,73,2,8,1,0,0,0
52,6133,21,1,1-21-2017-001-03,3,1,1,11,21,175,122,1,8,1,0,0,4
53,6134,21,2,1-21-2017-002-09,9,1,1,11,54,170,75,2,8,1,9,99,4
54,6085,30,1,1-30-2017-001-03,3,2,1,11,62,188,111,1,8,1,0,0,4
