CASEID,PSU,CASENO,CASENUMBER,CATEGORY,EVENTNO,VEHNUM,CLASS1,GAD1,CLASS2,GAD2
13165,27,14,1-27-2019-014-03,3,1,1,14,F,4,B
13163,31,17,1-31-2019-017-04,4,1,1,14,F,0,0
13168,26,29,1-26-2019-029-04,4,1,1,14,F,0,0
13168,26,29,1-26-2019-029-04,4,2,1,14,F,0,0
13171,29,26,1-29-2019-026-03,3,1,1,14,F,0,0
13173,29,28,1-29-2019-028-05,5,1,1,4,F,2,B
13173,29,28,1-29-2019-028-05,5,3,2,2,F,0,0
13173,29,28,1-29-2019-028-05,5,2,2,2,F,0,0
13174,19,15,1-19-2019-015-03,3,1,1,14,F,21,L
13167,26,28,1-26-2019-028-06,6,1,1,14,F,3,B
13175,19,16,1-19-2019-016-05,5,1,1,2,F,5,F
13175,19,16,1-19-2019-016-05,5,2,1,2,R,0,0
13175,19,16,1-19-2019-016-05,5,3,1,2,R,0,0
13175,19,16,1-19-2019-016-05,5,4,1,2,R,0,0
13156,59,25,1-59-2019-025-05,5,1,1,3,F,31,F
13156,59,25,1-59-2019-025-05,5,2,1,3,L,31,F
13162,16,16,1-16-2019-016-04,4,1,1,4,L,2,F
13178,17,29,1-17-2019-029-06,6,1,1,4,F,0,0
13178,17,29,1-17-2019-029-06,6,2,1,4,T,0,N
13177,17,28,1-17-2019-028-07,7,1,1,14,F,0,0
13179,17,30,1-17-2019-030-04,4,1,1,31,R,31,F
13179,17,30,1-17-2019-030-04,4,2,1,31,R,31,L
13166,26,27,1-26-2019-027-05,5,1,1,2,F,4,F
13183,22,25,1-22-2019-025-09,9,1,1,1,F,3,B
13182,22,24,1-22-2019-024-07,7,1,1,2,F,60,L
13181,33,26,1-33-2019-026-07,7,1,1,3,L,2,R
13181,33,26,1-33-2019-026-07,7,2,1,3,R,0,0
13187,21,23,1-21-2019-023-06,6,1,1,3,F,3,B
13189,21,25,1-21-2019-025-07,7,1,1,48,F,4,B
13189,21,25,1-21-2019-025-07,7,2,1,48,F,4,B
13188,21,24,1-21-2019-024-09,9,1,1,31,L,15,R
13188,21,24,1-21-2019-024-09,9,3,2,15,B,0,0
13188,21,24,1-21-2019-024-09,9,4,2,15,T,0,N
13188,21,24,1-21-2019-024-09,9,2,2,15,F,0,0
13184,22,26,1-22-2019-026-10,10,1,1,14,L,0,N
13190,33,27,1-33-2019-027-03,3,1,1,3,F,4,B
13145,28,12,1-28-2019-012-07,7,1,1,3,F,0,0
13145,28,12,1-28-2019-012-07,7,3,1,3,R,0,N
13145,28,12,1-28-2019-012-07,7,4,1,3,R,0,0
13145,28,12,1-28-2019-012-07,7,2,1,3,L,0,0
13158,15,23,1-15-2019-023-03,3,1,1,2,F,3,F
13159,15,24,1-15-2019-024-03,3,1,1,3,R,4,F
13185,18,13,1-18-2019-013-03,3,1,1,14,L,68,R
13185,18,13,1-18-2019-013-03,3,2,1,14,F,0,0
13186,18,14,1-18-2019-014-09,9,1,1,3,F,31,L
13191,30,29,1-30-2019-029-04,4,1,1,5,F,4,B
13193,59,26,1-59-2019-026-10,10,1,1,4,F,9,R
13176,13,21,1-13-2019-021-03,3,1,1,4,F,4,L
13195,30,30,1-30-2019-030-10,10,1,1,3,F,0,0
13195,30,30,1-30-2019-030-10,10,2,1,3,B,0,0
13206,24,32,1-24-2019-032-04,4,1,1,3,F,0,0
13205,24,31,1-24-2019-031-07,7,1,1,14,F,31,R
13204,24,30,1-24-2019-030-03,3,1,1,3,U,0,0
13204,24,30,1-24-2019-030-03,3,2,1,3,F,0,0
13204,24,30,1-24-2019-030-03,3,3,1,3,F,0,0
13203,11,27,1-11-2019-027-04,4,1,2,2,F,2,F
13211,73,15,1-73-2019-015-09,9,1,1,4,F,0,0
13207,77,27,1-77-2019-027-03,3,1,1,31,F,0,0
13207,77,27,1-77-2019-027-03,3,2,1,31,U,0,0
13207,77,27,1-77-2019-027-03,3,3,1,31,R,0,0
13207,77,27,1-77-2019-027-03,3,4,1,31,F,0,0
13214,28,14,1-28-2019-014-04,4,1,1,4,F,60,R
13214,28,14,1-28-2019-014-04,4,2,1,4,F,0,0
13214,28,14,1-28-2019-014-04,4,3,1,4,R,0,0
13214,28,14,1-28-2019-014-04,4,4,1,4,F,60,F
13213,28,13,1-28-2019-013-09,9,2,1,2,T,0,N
13213,28,13,1-28-2019-013-09,9,3,1,2,R,0,0
13213,28,13,1-28-2019-013-09,9,1,1,2,U,0,0
13208,77,28,1-77-2019-028-05,5,3,1,2,F,0,0
13208,77,28,1-77-2019-028-05,5,1,1,2,F,0,0
13208,77,28,1-77-2019-028-05,5,2,1,2,F,0,0
13209,77,29,1-77-2019-029-03,3,1,1,14,R,3,L
13202,11,26,1-11-2019-026-08,8,1,1,2,F,0,0
13202,11,26,1-11-2019-026-08,8,2,1,2,F,0,0
13221,25,16,1-25-2019-016-04,4,1,1,3,F,4,R
13201,11,25,1-11-2019-025-06,6,1,1,3,F,31,B
13215,54,15,1-54-2019-015-01,1,1,1,31,F,0,0
13223,32,29,1-32-2019-029-09,9,1,1,3,L,3,R
13225,76,12,1-76-2019-012-05,5,1,1,31,9,0,0
13225,76,12,1-76-2019-012-05,5,2,1,31,F,0,0
13225,76,12,1-76-2019-012-05,5,6,1,31,T,0,N
13225,76,12,1-76-2019-012-05,5,3,1,31,9,0,0
13225,76,12,1-76-2019-012-05,5,4,1,31,9,0,0
13225,76,12,1-76-2019-012-05,5,5,1,31,9,0,0
13225,76,12,1-76-2019-012-05,5,7,1,31,9,0,0
13225,76,12,1-76-2019-012-05,5,8,1,31,9,0,0
13220,25,15,1-25-2019-015-06,6,1,1,4,L,0,0
13220,25,15,1-25-2019-015-06,6,2,1,4,L,0,N
13220,25,15,1-25-2019-015-06,6,3,1,4,T,0,0
13220,25,15,1-25-2019-015-06,6,4,1,4,R,0,0
13228,52,9,1-52-2019-009-04,4,1,1,3,L,14,R
13224,32,30,1-32-2019-030-04,4,1,1,60,F,4,L
13218,48,14,1-48-2019-014-03,3,1,1,31,R,4,F
13231,16,17,1-16-2019-017-05,5,1,1,3,F,0,0
13231,16,17,1-16-2019-017-05,5,2,1,3,R,0,0
13234,31,19,1-31-2019-019-04,4,1,1,20,F,14,B
13229,66,19,1-66-2019-019-04,4,1,1,3,F,31,L
13229,66,19,1-66-2019-019-04,4,2,2,31,U,0,0
13233,31,18,1-31-2019-018-10,10,1,1,4,T,0,N
13232,16,18,1-16-2019-018-07,7,1,1,14,F,0,0
13217,54,16,1-54-2019-016-06,6,1,1,3,L,3,F
13217,54,16,1-54-2019-016-06,6,2,2,3,F,0,0
13230,66,20,1-66-2019-020-06,6,1,1,4,F,4,B
13230,66,20,1-66-2019-020-06,6,2,2,4,F,14,L
13237,48,16,1-48-2019-016-06,6,1,1,3,F,14,B
13212,14,15,1-14-2019-015-09,9,2,1,3,F,2,R
13212,14,15,1-14-2019-015-09,9,3,1,3,F,68,L
13212,14,15,1-14-2019-015-09,9,1,1,3,F,0,0
13238,19,17,1-19-2019-017-09,9,1,1,68,F,2,L
13238,19,17,1-19-2019-017-09,9,2,1,68,R,2,L
13244,27,15,1-27-2019-015-03,3,1,1,3,L,0,0
13244,27,15,1-27-2019-015-03,3,2,1,3,F,0,0
13244,27,15,1-27-2019-015-03,3,3,1,3,L,0,0
13246,10,12,1-10-2019-012-05,5,1,1,15,B,4,F
13242,22,27,1-22-2019-027-09,9,1,1,3,F,0,0
13240,29,30,1-29-2019-030-04,4,1,1,3,F,14,R
13243,22,28,1-22-2019-028-03,3,1,1,4,F,14,F
13248,17,31,1-17-2019-031-01,1,1,1,31,F,68,B
13249,17,32,1-17-2019-032-04,4,1,1,3,R,30,F
13250,17,33,1-17-2019-033-05,5,1,1,14,L,78,F
13250,17,33,1-17-2019-033-05,5,2,1,14,L,78,R
13226,59,27,1-59-2019-027-02,2,1,1,14,F,4,F
13226,59,27,1-59-2019-027-02,2,2,1,14,R,4,L
13226,59,27,1-59-2019-027-02,2,3,2,4,F,3,F
13251,33,28,1-33-2019-028-04,4,1,1,3,R,0,0
13252,33,29,1-33-2019-029-06,6,1,1,4,F,31,B
13227,59,28,1-59-2019-028-10,10,1,1,3,F,0,0
13253,33,30,1-33-2019-030-08,8,1,1,31,F,2,F
13256,13,22,1-13-2019-022-03,3,1,1,3,L,15,F
13254,26,31,1-26-2019-031-06,6,1,1,30,F,3,B
13257,13,23,1-13-2019-023-03,3,1,1,31,F,14,B
13257,13,23,1-13-2019-023-03,3,2,2,14,F,14,B
13259,21,27,1-21-2019-027-08,8,1,1,3,F,0,0
13259,21,27,1-21-2019-027-08,8,2,1,3,B,0,0
13255,18,15,1-18-2019-015-06,6,1,1,4,R,15,F
13265,21,29,1-21-2019-029-01,1,3,1,14,T,0,N
13265,21,29,1-21-2019-029-01,1,1,1,14,9,0,0
13265,21,29,1-21-2019-029-01,1,2,1,14,L,0,0
13245,27,16,1-27-2019-016-10,10,1,1,30,F,14,R
13263,15,25,1-15-2019-025-03,3,1,1,3,F,3,B
13263,15,25,1-15-2019-025-03,3,2,2,3,F,15,B
13239,29,29,1-29-2019-029-03,3,1,1,2,F,0,0
13266,12,18,1-12-2019-018-08,8,2,1,4,T,0,N
13266,12,18,1-12-2019-018-08,8,1,1,4,R,0,0
13266,12,18,1-12-2019-018-08,8,3,1,4,9,0,0
13266,12,18,1-12-2019-018-08,8,4,1,4,9,0,0
13266,12,18,1-12-2019-018-08,8,5,1,4,9,0,0
13261,30,31,1-30-2019-031-05,5,1,1,20,R,14,F
13264,30,32,1-30-2019-032-07,7,1,1,31,F,60,B
13268,73,16,1-73-2019-016-07,7,1,1,31,R,0,0
13268,73,16,1-73-2019-016-07,7,2,1,31,F,0,0
13241,29,31,1-29-2019-031-07,7,1,1,14,F,0,0
13241,29,31,1-29-2019-031-07,7,2,1,14,F,0,0
13241,29,31,1-29-2019-031-07,7,3,1,14,F,0,0
13271,32,31,1-32-2019-031-03,3,1,1,4,B,3,F
13271,32,31,1-32-2019-031-03,3,2,1,4,B,20,F
13270,21,30,1-21-2019-030-06,6,1,1,31,F,4,R
13276,11,28,1-11-2019-028-05,5,1,1,14,F,31,F
13281,73,17,1-73-2019-017-02,2,1,1,3,R,31,F
13281,73,17,1-73-2019-017-02,2,2,1,3,R,31,L
13277,11,29,1-11-2019-029-04,4,1,1,15,F,50,B
13278,11,30,1-11-2019-030-06,6,1,1,4,F,14,B
13283,48,17,1-48-2019-017-07,7,1,1,31,F,0,0
13283,48,17,1-48-2019-017-07,7,2,1,31,B,0,0
13287,28,15,1-28-2019-015-04,4,1,1,31,F,31,B
13279,77,30,1-77-2019-030-04,4,1,1,30,F,14,B
13279,77,30,1-77-2019-030-04,4,2,1,30,F,3,9
13279,77,30,1-77-2019-030-04,4,3,1,30,F,21,B
13290,12,19,1-12-2019-019-09,9,1,1,31,F,68,B
13279,77,30,1-77-2019-030-04,4,4,4,21,F,3,B
13288,54,17,1-54-2019-017-08,8,1,1,15,F,4,R
13294,32,33,1-32-2019-033-02,2,1,1,31,F,4,L
13279,77,30,1-77-2019-030-04,4,5,5,3,F,31,B
13293,32,32,1-32-2019-032-02,2,1,1,3,B,31,F
13293,32,32,1-32-2019-032-02,2,3,1,3,F,0,0
13285,24,34,1-24-2019-034-03,3,1,1,31,F,3,B
13293,32,32,1-32-2019-032-02,2,2,2,31,L,0,0
13285,24,34,1-24-2019-034-03,3,2,2,3,F,2,B
13284,24,33,1-24-2019-033-07,7,1,1,5,F,3,F
13291,12,20,1-12-2019-020-06,6,1,1,15,F,68,B
13286,24,35,1-24-2019-035-07,7,1,1,3,F,14,B
13298,66,21,1-66-2019-021-06,6,1,1,4,F,5,B
13298,66,21,1-66-2019-021-06,6,2,1,4,F,0,0
13297,59,29,1-59-2019-029-08,8,1,1,3,F,0,0
13302,10,14,1-10-2019-014-09,9,1,1,3,L,20,F
13304,25,18,1-25-2019-018-04,4,1,1,20,F,14,B
13303,16,19,1-16-2019-019-03,3,1,1,4,R,2,F
13303,16,19,1-16-2019-019-03,3,3,1,4,L,0,N
13303,16,19,1-16-2019-019-03,3,2,1,4,L,0,0
13301,10,13,1-10-2019-013-03,3,1,1,4,R,2,F
13305,31,20,1-31-2019-020-03,3,1,1,4,F,0,0
13305,31,20,1-31-2019-020-03,3,2,1,4,F,0,0
13305,31,20,1-31-2019-020-03,3,3,1,4,F,0,0
13305,31,20,1-31-2019-020-03,3,4,1,4,F,0,0
13305,31,20,1-31-2019-020-03,3,5,1,4,F,0,0
13305,31,20,1-31-2019-020-03,3,6,1,4,F,0,0
13305,31,20,1-31-2019-020-03,3,7,1,4,F,0,0
13305,31,20,1-31-2019-020-03,3,8,1,4,F,0,0
13305,31,20,1-31-2019-020-03,3,9,1,4,F,0,0
13305,31,20,1-31-2019-020-03,3,10,1,4,T,0,N
13310,26,32,1-26-2019-032-10,10,1,1,2,F,4,B
13299,14,16,1-14-2019-016-03,3,1,1,15,F,4,F
13311,26,33,1-26-2019-033-02,2,1,1,3,F,0,0
13311,26,33,1-26-2019-033-02,2,3,1,3,F,0,0
13311,26,33,1-26-2019-033-02,2,4,1,3,F,0,0
13311,26,33,1-26-2019-033-02,2,2,1,3,F,0,0
13308,52,11,1-52-2019-011-03,3,1,1,4,R,4,F
13308,52,11,1-52-2019-011-03,3,2,1,4,R,4,L
13319,17,34,1-17-2019-034-07,7,1,1,31,R,3,F
13317,22,30,1-22-2019-030-06,6,1,1,3,F,14,B
13317,22,30,1-22-2019-030-06,6,3,1,3,F,14,B
13318,22,31,1-22-2019-031-07,7,1,1,1,L,0,N
13309,27,17,1-27-2019-017-03,3,1,1,3,F,3,F
13321,17,36,1-17-2019-036-06,6,1,1,30,F,2,L
13314,29,33,1-29-2019-033-03,3,1,1,20,F,14,F
13317,22,30,1-22-2019-030-06,6,2,2,14,F,30,B
13316,22,29,1-22-2019-029-06,6,1,1,4,F,3,B
13322,33,31,1-33-2019-031-02,2,1,1,4,F,0,0
13323,33,32,1-33-2019-032-03,3,1,1,31,F,14,F
13323,33,32,1-33-2019-032-03,3,3,1,31,F,0,0
13323,33,32,1-33-2019-032-03,3,2,1,31,F,0,0
13306,19,18,1-19-2019-018-08,8,1,1,15,L,3,L
13306,19,18,1-19-2019-018-08,8,2,1,15,R,0,0
13306,19,18,1-19-2019-018-08,8,3,1,15,R,0,0
13306,19,18,1-19-2019-018-08,8,4,1,15,R,0,0
13307,19,19,1-19-2019-019-03,3,1,1,14,R,4,F
13307,19,19,1-19-2019-019-03,3,2,1,14,R,4,L
13315,29,34,1-29-2019-034-01,1,1,1,4,F,2,R
13315,29,34,1-29-2019-034-01,1,3,1,4,L,0,0
13320,17,35,1-17-2019-035-09,9,1,1,4,F,14,B
13325,18,16,1-18-2019-016-09,9,1,1,3,F,60,L
13289,76,13,1-76-2019-013-10,10,1,1,31,B,3,R
13328,13,25,1-13-2019-025-07,7,1,1,2,F,15,B
13326,18,17,1-18-2019-017-04,4,1,1,21,F,15,B
13315,29,34,1-29-2019-034-01,1,5,2,2,F,0,0
13315,29,34,1-29-2019-034-01,1,2,2,2,L,4,L
13315,29,34,1-29-2019-034-01,1,4,2,2,B,0,0
13329,30,33,1-30-2019-033-04,4,1,1,4,F,20,B
13329,30,33,1-30-2019-033-04,4,2,2,20,F,31,B
13332,21,32,1-21-2019-032-02,2,1,1,15,F,20,B
13330,30,34,1-30-2019-034-03,3,1,1,31,F,4,R
13332,21,32,1-21-2019-032-02,2,2,2,20,F,31,B
13330,30,34,1-30-2019-034-03,3,2,2,4,L,0,0
13330,30,34,1-30-2019-034-03,3,3,2,4,B,0,0
13330,30,34,1-30-2019-034-03,3,4,2,4,B,0,0
13333,21,33,1-21-2019-033-02,2,1,1,14,F,3,B
13333,21,33,1-21-2019-033-02,2,5,1,14,T,0,N
13333,21,33,1-21-2019-033-02,2,3,2,3,F,0,0
13333,21,33,1-21-2019-033-02,2,2,3,21,F,0,0
13333,21,33,1-21-2019-033-02,2,4,3,21,L,0,N
13331,21,31,1-21-2019-031-03,3,1,1,4,B,68,L
13331,21,31,1-21-2019-031-03,3,2,1,4,L,68,L
13331,21,31,1-21-2019-031-03,3,3,1,4,F,68,L
13331,21,31,1-21-2019-031-03,3,4,1,4,R,68,L
13324,15,26,1-15-2019-026-04,4,1,1,2,F,3,B
13313,29,32,1-29-2019-032-09,9,1,1,2,R,3,F
13327,13,24,1-13-2019-024-02,2,1,1,21,F,60,B
13327,13,24,1-13-2019-024-02,2,2,2,60,F,14,B
13337,26,35,1-26-2019-035-07,7,1,1,4,F,15,B
13339,14,18,1-14-2019-018-03,3,1,1,2,F,31,L
13340,32,35,1-32-2019-035-02,2,1,1,4,R,4,F
13340,32,35,1-32-2019-035-02,2,2,1,4,F,2,F
13350,24,37,1-24-2019-037-04,4,1,1,3,F,0,0
13349,24,36,1-24-2019-036-02,2,2,1,20,F,0,0
13349,24,36,1-24-2019-036-02,2,1,1,20,R,0,0
13351,24,38,1-24-2019-038-02,2,1,1,4,R,3,F
13351,24,38,1-24-2019-038-02,2,2,1,4,T,0,N
13343,11,31,1-11-2019-031-03,3,1,1,2,F,3,B
13344,11,32,1-11-2019-032-06,6,1,1,2,F,1,B
13348,77,33,1-77-2019-033-08,8,2,1,30,F,0,0
13348,77,33,1-77-2019-033-08,8,3,1,30,L,0,0
13348,77,33,1-77-2019-033-08,8,1,1,30,R,0,0
13348,77,33,1-77-2019-033-08,8,4,1,30,F,0,0
13345,11,33,1-11-2019-033-06,6,1,1,2,L,30,F
13347,77,32,1-77-2019-032-08,8,1,1,3,F,14,F
13347,77,32,1-77-2019-032-08,8,2,2,14,F,3,L
13347,77,32,1-77-2019-032-08,8,3,2,14,L,0,N
13347,77,32,1-77-2019-032-08,8,4,2,14,L,0,0
13347,77,32,1-77-2019-032-08,8,5,2,14,L,0,0
13346,77,31,1-77-2019-031-07,7,1,1,3,F,14,B
13353,73,19,1-73-2019-019-04,4,1,1,14,F,3,F
13361,66,22,1-66-2019-022-10,10,1,1,4,R,14,L
13358,59,30,1-59-2019-030-02,2,1,1,14,F,3,R
13362,76,14,1-76-2019-014-07,7,1,1,3,F,0,0
13365,32,36,1-32-2019-036-05,5,1,1,3,L,3,F
13365,32,36,1-32-2019-036-05,5,2,1,3,L,3,R
13370,25,19,1-25-2019-019-02,2,1,1,60,F,4,R
13370,25,19,1-25-2019-019-02,2,2,1,60,L,4,R
13356,48,18,1-48-2019-018-03,3,1,1,4,R,31,B
13354,54,18,1-54-2019-018-07,7,1,1,31,L,0,0
13354,54,18,1-54-2019-018-07,7,2,1,31,R,0,0
13354,54,18,1-54-2019-018-07,7,3,1,31,F,0,0
13367,32,38,1-32-2019-038-06,6,1,1,3,L,31,R
13367,32,38,1-32-2019-038-06,6,2,1,3,F,5,B
13367,32,38,1-32-2019-038-06,6,5,1,3,F,0,0
13366,32,37,1-32-2019-037-03,3,1,1,31,F,2,B
13367,32,38,1-32-2019-038-06,6,3,3,5,L,0,0
13367,32,38,1-32-2019-038-06,6,4,3,5,L,0,0
13372,12,21,1-12-2019-021-10,10,1,1,14,F,14,B
13369,14,19,1-14-2019-019-03,3,1,1,14,R,14,F
13366,32,37,1-32-2019-037-03,3,2,2,2,L,31,R
13359,59,31,1-59-2019-031-08,8,1,1,2,T,0,N
13374,16,21,1-16-2019-021-09,9,1,1,20,F,0,0
13374,16,21,1-16-2019-021-09,9,2,1,20,T,0,N
13374,16,21,1-16-2019-021-09,9,3,1,20,R,0,0
13374,16,21,1-16-2019-021-09,9,4,1,20,R,0,0
13360,54,19,1-54-2019-019-10,10,1,1,31,F,0,0
13360,54,19,1-54-2019-019-10,10,2,1,31,F,0,0
13368,52,12,1-52-2019-012-07,7,1,1,4,F,14,L
13375,20,20,1-20-2019-020-06,6,1,1,1,F,31,F
13375,20,20,1-20-2019-020-06,6,2,1,1,F,0,0
13376,10,15,1-10-2019-015-08,8,1,1,31,F,0,0
13357,48,19,1-48-2019-019-05,5,1,1,2,R,15,F
13357,48,19,1-48-2019-019-05,5,2,1,2,R,15,L
13373,16,20,1-16-2019-020-02,2,1,1,2,F,4,B
13373,16,20,1-16-2019-020-02,2,2,2,4,F,4,B
13373,16,20,1-16-2019-020-02,2,3,3,4,F,2,B
13363,28,16,1-28-2019-016-10,10,1,1,14,F,0,0
13386,17,37,1-17-2019-037-05,5,1,1,2,F,2,L
13386,17,37,1-17-2019-037-05,5,2,2,2,R,0,N
13364,28,17,1-28-2019-017-09,9,1,1,3,L,0,0
13364,28,17,1-28-2019-017-09,9,2,1,3,L,0,0
13364,28,17,1-28-2019-017-09,9,3,1,3,R,0,0
13380,29,37,1-29-2019-037-05,5,1,1,3,F,20,R
13380,29,37,1-29-2019-037-05,5,2,1,3,L,20,R
13380,29,37,1-29-2019-037-05,5,4,1,3,F,0,0
13380,29,37,1-29-2019-037-05,5,5,2,20,F,0,0
13380,29,37,1-29-2019-037-05,5,3,2,20,F,0,0
13383,26,36,1-26-2019-036-04,4,1,1,3,R,15,F
13383,26,36,1-26-2019-036-04,4,2,1,3,B,0,0
13383,26,36,1-26-2019-036-04,4,3,1,3,B,0,0
13394,18,18,1-18-2019-018-03,3,1,1,4,F,0,0
13394,18,18,1-18-2019-018-03,3,9,1,4,T,0,N
13394,18,18,1-18-2019-018-03,3,2,1,4,L,0,0
13394,18,18,1-18-2019-018-03,3,3,1,4,L,0,0
13394,18,18,1-18-2019-018-03,3,4,1,4,L,0,0
13394,18,18,1-18-2019-018-03,3,5,1,4,L,0,0
13394,18,18,1-18-2019-018-03,3,6,1,4,L,0,0
13394,18,18,1-18-2019-018-03,3,7,1,4,L,0,0
13394,18,18,1-18-2019-018-03,3,8,1,4,L,0,0
13389,22,32,1-22-2019-032-06,6,1,1,3,F,3,B
13391,33,33,1-33-2019-033-09,9,1,1,31,F,0,0
13395,27,20,1-27-2019-020-06,6,1,1,3,L,1,R
13392,33,34,1-33-2019-034-10,10,1,1,14,F,0,0
13390,22,33,1-22-2019-033-03,3,1,1,2,F,0,0
13393,33,35,1-33-2019-035-09,9,1,1,31,F,30,B
13377,19,20,1-19-2019-020-06,6,1,1,4,F,31,B
13393,33,35,1-33-2019-035-09,9,2,2,30,F,31,F
13396,27,21,1-27-2019-021-06,6,1,1,14,F,0,0
13396,27,21,1-27-2019-021-06,6,2,1,14,F,0,0
13396,27,21,1-27-2019-021-06,6,3,1,14,F,0,0
13396,27,21,1-27-2019-021-06,6,4,1,14,F,0,0
13396,27,21,1-27-2019-021-06,6,5,1,14,F,0,0
13396,27,21,1-27-2019-021-06,6,6,1,14,F,0,0
13396,27,21,1-27-2019-021-06,6,7,1,14,F,0,0
13396,27,21,1-27-2019-021-06,6,8,1,14,F,0,0
13396,27,21,1-27-2019-021-06,6,9,1,14,F,0,0
13397,13,26,1-13-2019-026-08,8,1,1,4,T,0,N
13398,13,27,1-13-2019-027-03,3,1,1,1,F,14,L
13398,13,27,1-13-2019-027-03,3,2,1,1,R,14,L
13398,13,27,1-13-2019-027-03,3,3,2,14,F,0,0
13384,26,37,1-26-2019-037-03,3,1,1,3,F,3,B
13384,26,37,1-26-2019-037-03,3,2,1,3,L,14,B
13385,26,38,1-26-2019-038-06,6,1,1,2,R,21,F
13387,30,35,1-30-2019-035-03,3,1,1,14,L,2,F
13388,30,36,1-30-2019-036-06,6,1,1,3,F,0,0
13388,30,36,1-30-2019-036-06,6,2,1,3,B,0,0
13401,21,35,1-21-2019-035-05,5,1,1,4,T,0,N
13402,21,36,1-21-2019-036-08,8,1,1,2,F,0,0
13402,21,36,1-21-2019-036-08,8,2,1,2,R,0,0
13402,21,36,1-21-2019-036-08,8,3,1,2,R,0,0
13402,21,36,1-21-2019-036-08,8,4,1,2,T,0,N
13400,21,34,1-21-2019-034-02,2,1,1,2,F,68,B
13400,21,34,1-21-2019-034-02,2,2,1,2,T,0,N
13399,15,27,1-15-2019-027-01,1,1,1,4,F,0,0
13399,15,27,1-15-2019-027-01,1,2,1,4,F,0,0
13399,15,27,1-15-2019-027-01,1,3,1,4,F,0,0
13403,25,21,1-25-2019-021-07,7,1,1,31,R,0,0
13404,73,20,1-73-2019-020-07,7,1,1,31,F,0,0
13404,73,20,1-73-2019-020-07,7,2,1,31,F,0,0
13378,29,35,1-29-2019-035-06,6,1,1,4,F,2,B
13379,29,36,1-29-2019-036-09,9,1,1,4,F,0,0
13379,29,36,1-29-2019-036-09,9,2,1,4,F,0,0
13379,29,36,1-29-2019-036-09,9,3,1,4,F,0,0
13379,29,36,1-29-2019-036-09,9,4,1,4,F,0,0
13379,29,36,1-29-2019-036-09,9,5,1,4,F,0,0
13412,24,39,1-24-2019-039-07,7,1,1,4,F,14,L
13412,24,39,1-24-2019-039-07,7,2,1,4,9,20,L
13412,24,39,1-24-2019-039-07,7,3,1,4,9,5,L
13413,24,40,1-24-2019-040-06,6,1,1,4,L,4,F
13413,24,40,1-24-2019-040-06,6,2,2,4,F,0,0
13414,24,41,1-24-2019-041-03,3,1,1,3,F,4,L
13418,73,21,1-73-2019-021-07,7,1,1,31,R,0,0
13418,73,21,1-73-2019-021-07,7,2,1,31,F,0,0
13409,11,34,1-11-2019-034-03,3,1,1,20,L,3,F
13411,11,36,1-11-2019-036-03,3,1,1,4,F,2,F
13416,77,35,1-77-2019-035-02,2,1,1,5,U,0,0
13416,77,35,1-77-2019-035-02,2,3,1,5,L,0,0
13416,77,35,1-77-2019-035-02,2,2,1,5,L,0,N
13424,10,17,1-10-2019-017-09,9,1,1,4,L,30,R
13424,10,17,1-10-2019-017-09,9,2,1,4,F,0,0
13422,23,21,1-23-2019-021-02,2,1,1,1,F,14,L
13422,23,21,1-23-2019-021-02,2,3,1,1,F,0,0
13422,23,21,1-23-2019-021-02,2,2,1,1,R,14,L
13422,23,21,1-23-2019-021-02,2,4,2,14,F,0,0
13422,23,21,1-23-2019-021-02,2,5,2,14,F,0,0
13420,12,23,1-12-2019-023-03,3,1,1,14,F,4,B
13417,77,36,1-77-2019-036-02,2,1,1,4,F,9,B
13420,12,23,1-12-2019-023-03,3,2,2,4,F,15,B
13415,77,34,1-77-2019-034-04,4,1,1,15,F,4,B
13415,77,34,1-77-2019-034-04,4,2,2,4,F,4,B
13421,59,32,1-59-2019-032-05,5,2,2,14,F,4,B
13426,27,22,1-27-2019-022-03,3,1,1,3,F,3,B
13421,59,32,1-59-2019-032-05,5,1,3,14,F,14,B
13429,32,40,1-32-2019-040-09,9,1,1,4,L,0,0
13429,32,40,1-32-2019-040-09,9,2,1,4,L,0,0
13427,54,20,1-54-2019-020-01,1,2,1,31,9,0,N
13427,54,20,1-54-2019-020-01,1,1,1,31,9,0,0
13433,25,22,1-25-2019-022-05,5,1,1,15,F,2,B
13433,25,22,1-25-2019-022-05,5,2,2,2,F,30,B
13432,48,20,1-48-2019-020-03,3,1,1,14,L,0,N
13431,76,16,1-76-2019-016-09,9,1,1,2,L,31,F
13437,66,23,1-66-2019-023-08,8,1,1,30,F,4,F
13437,66,23,1-66-2019-023-08,8,2,1,30,F,0,0
13435,14,21,1-14-2019-021-05,5,1,1,31,L,0,0
13435,14,21,1-14-2019-021-05,5,2,1,31,F,0,0
13434,14,20,1-14-2019-020-03,3,1,1,15,L,31,F
13438,52,13,1-52-2019-013-03,3,1,1,14,F,31,B
13439,19,21,1-19-2019-021-08,8,1,1,4,F,0,0
13439,19,21,1-19-2019-021-08,8,2,1,4,F,0,0
13439,19,21,1-19-2019-021-08,8,3,1,4,T,0,N
13440,19,22,1-19-2019-022-07,7,1,1,4,F,14,B
13436,16,22,1-16-2019-022-02,2,1,1,3,F,2,F
13436,16,22,1-16-2019-022-02,2,2,2,2,F,0,0
13447,17,39,1-17-2019-039-07,7,1,1,31,R,3,F
