CASEID,PSU,CASENO,CASENUMBER,DAMPLANE,CATEGORY,VEHNO,DVLONG,DVLAT,DVTOTAL,CRASHTYPE,PREFHE,MODELYR,BODYTYPE,BODYCAT,SPEEDLIMIT,CRITEVENT,CRASHCONF,DRUGTEST,ALCTESTRESULT,ALCTESTSRC
9132,24,5,1-24-2018-005-06,F,6,2,-25,0,25,89,0,2009,4,1,72,66,L,0,995,0
9133,24,6,1-24-2018-006-09,F,9,1,-9,-2,9,69,0,2001,20,4,80,62,J,0,995,0
9133,24,6,1-24-2018-006-09,R,9,2,4,-10,11,68,0,2012,4,1,80,15,J,0,995,0
9134,23,5,1-23-2018-005-04,L,4,1,999,999,999,7,1,2015,4,1,89,5,B,0,995,0
9135,23,6,1-23-2018-006-03,F,3,1,-16,-3,17,7,1,2015,5,1,89,6,B,0,995,0
9136,23,7,1-23-2018-007-05,F,5,1,999,999,999,6,1,2010,5,1,113,12,B,3,997,8
9137,28,4,1-28-2018-004-03,F,3,1,-24,-4,25,28,0,2014,4,1,40,52,D,0,995,0
9137,28,4,1-28-2018-004-03,B,3,2,21,0,21,29,0,2013,14,3,40,53,D,0,995,0
9138,52,2,1-52-2018-002-07,F,7,1,-16,0,16,20,0,2011,4,1,40,50,D,9,998,8
9138,52,2,1-52-2018-002-07,B,7,2,8,-1,8,21,0,2015,34,5,40,53,D,9,998,8
9139,16,5,1-16-2018-005-03,F,3,1,-9,2,9,64,1,2006,14,3,56,54,I,0,995,0
9139,16,5,1-16-2018-005-03,R,3,2,999,999,999,65,0,2014,14,3,56,62,I,0,995,0
9140,16,6,1-16-2018-006-06,F,6,1,-31,18,35,2,1,2010,4,1,56,5,A,0,995,0
9141,59,5,1-59-2018-005-05,U,5,1,999,999,999,7,1,2013,1,1,48,5,B,0,995,0
9143,10,7,1-10-2018-007-04,F,4,1,999,999,999,2,1,2017,14,3,89,6,A,0,118,1
9144,32,5,1-32-2018-005-07,F,7,1,-18,0,18,20,0,2009,14,3,113,50,D,0,995,0
9144,32,5,1-32-2018-005-07,B,7,2,14,-3,15,21,0,2004,14,3,113,53,D,0,995,0
9145,32,6,1-32-2018-006-08,T,8,1,999,999,999,1,1,2005,4,1,113,13,A,1,0,2
9147,10,6,1-10-2018-006-04,F,4,1,999,999,999,20,0,2006,4,1,56,50,D,0,995,0
9147,10,6,1-10-2018-006-04,B,4,2,999,999,999,21,0,2014,4,1,56,52,D,0,995,0
9147,10,6,1-10-2018-006-04,B,4,3,999,999,999,98,0,2015,6,1,56,53,M,0,995,0
9148,26,2,1-26-2018-002-03,R,3,1,-9,-26,27,87,0,2008,5,1,40,66,L,0,995,0
9148,26,2,1-26-2018-002-03,F,3,2,-27,16,32,86,0,2015,5,1,40,66,L,0,995,0
9150,26,4,1-26-2018-004-05,F,5,1,999,999,999,6,1,2012,4,1,56,12,B,2,0,2
9151,66,2,1-66-2018-002-07,F,7,1,999,999,999,7,1,2012,34,5,113,6,B,0,995,0
9152,76,1,1-76-2018-001-10,F,10,1,999,999,999,1,1,2003,4,1,64,13,A,9,998,8
9155,12,4,1-12-2018-004-07,L,7,1,-12,7,14,82,0,2006,34,5,105,15,K,0,995,0
9155,12,4,1-12-2018-004-07,F,7,2,-16,-3,16,83,0,2011,4,1,105,67,K,0,995,0
9157,14,3,1-14-2018-003-04,L,4,1,999,999,999,13,0,2016,6,1,89,87,C,0,995,0
9158,29,5,1-29-2018-005-09,F,9,1,-12,0,12,1,1,2007,4,1,56,11,A,0,995,0
9159,29,6,1-29-2018-006-09,T,9,1,999,999,999,98,1,2002,2,1,89,6,M,0,995,0
9160,31,2,1-31-2018-002-10,F,10,1,-13,0,13,20,0,1994,34,5,72,50,D,0,995,0
9160,31,2,1-31-2018-002-10,B,10,2,16,0,16,21,0,2016,14,3,72,53,D,0,995,0
9161,17,7,1-17-2018-007-07,L,7,1,999,999,999,2,1,2010,20,4,89,5,A,0,995,0
9162,17,8,1-17-2018-008-09,F,9,1,-19,0,19,20,0,1994,4,1,56,50,D,2,0,2
9162,17,8,1-17-2018-008-09,B,9,2,1,0,1,21,0,2006,20,4,56,53,D,0,995,0
9163,19,6,1-19-2018-006-04,B,4,1,11,-2,11,28,0,2002,4,1,89,52,D,0,995,0
9163,19,6,1-19-2018-006-04,B,4,2,999,999,999,30,0,2004,34,5,89,53,D,0,995,0
9163,19,6,1-19-2018-006-04,F,4,3,-9,-3,9,98,0,2015,14,3,89,52,M,0,995,0
9164,27,3,1-27-2018-003-04,F,4,1,-21,0,21,20,0,2017,34,5,48,50,D,9,995,0
9164,27,3,1-27-2018-003-04,B,4,2,25,0,25,21,0,2007,34,5,48,52,D,9,995,0
9165,22,2,1-22-2018-002-04,F,4,1,-64,0,64,50,1,1993,4,1,89,6,G,0,995,0
9165,22,2,1-22-2018-002-04,F,4,2,-39,0,39,51,0,2016,5,1,89,62,G,0,995,0
9168,13,7,1-13-2018-007-03,F,3,1,-16,-9,18,24,0,2012,2,1,97,51,D,0,995,0
9168,13,7,1-13-2018-007-03,F,3,2,-9,11,14,25,0,2014,4,1,97,53,D,0,995,0
9169,13,8,1-13-2018-008-03,F,3,1,999,999,999,28,0,1998,15,3,105,52,D,1,0,2
9169,13,8,1-13-2018-008-03,B,3,2,999,999,999,29,0,2014,14,3,105,53,D,0,995,0
9170,13,9,1-13-2018-009-05,B,5,1,55,0,55,21,0,2007,5,1,97,53,D,2,997,8
9170,13,9,1-13-2018-009-05,F,5,2,-45,0,45,20,0,2012,4,1,97,50,D,0,995,0
9172,18,3,1-18-2018-003-10,R,10,1,999,999,999,7,1,2000,4,1,113,5,B,0,995,0
9173,25,4,1-25-2018-004-09,F,9,1,999,999,999,11,1,2003,4,1,40,5,C,0,995,0
9173,25,4,1-25-2018-004-09,B,9,2,999,999,999,99,99,2009,21,4,999,99,N,9,999,8
9176,21,4,1-21-2018-004-04,F,4,1,999,999,999,69,0,2018,4,1,64,17,J,0,995,0
9176,21,4,1-21-2018-004-04,R,4,2,999,999,999,68,0,2008,34,5,64,63,J,0,995,0
9177,33,4,1-33-2018-004-08,F,8,1,999,999,999,64,1,1995,34,5,64,10,I,0,995,0
9177,33,4,1-33-2018-004-08,L,8,2,999,999,999,65,0,2006,4,1,64,62,I,0,995,0
9178,33,5,1-33-2018-005-06,F,6,1,-16,-9,18,88,0,2005,14,3,56,17,L,0,995,0
9178,33,5,1-33-2018-005-06,L,6,2,-4,24,24,89,0,2012,4,1,56,66,L,0,0,2
9179,33,6,1-33-2018-006-06,F,6,1,-15,-25,29,68,0,2013,4,1,56,15,J,0,80,2
9179,33,6,1-33-2018-006-06,F,6,2,999,999,999,69,0,2008,4,1,56,62,J,0,995,0
9180,15,5,1-15-2018-005-04,L,4,1,-3,19,19,78,1,2017,14,3,64,10,K,0,995,0
9180,15,5,1-15-2018-005-04,F,4,2,-14,-8,16,79,0,2005,14,3,64,74,K,0,995,0
9181,15,6,1-15-2018-006-04,B,4,1,999,999,999,92,0,2017,6,1,56,20,M,0,995,0
9181,15,6,1-15-2018-006-04,F,4,2,999,999,999,93,0,2016,3,1,56,51,M,0,995,0
9182,30,4,1-30-2018-004-02,F,2,1,999,999,999,6,1,2015,15,3,105,12,B,1,0,2
9183,18,4,1-18-2018-004-04,F,4,1,999,999,999,86,0,2007,34,5,40,17,L,0,995,0
9183,18,4,1-18-2018-004-04,R,4,2,999,999,999,87,0,2017,14,3,40,66,L,0,995,0
9184,26,5,1-26-2018-005-03,9,3,1,999,999,999,90,0,2016,14,3,40,17,L,0,995,0
9184,26,5,1-26-2018-005-03,9,3,2,999,999,999,90,0,2013,14,3,40,71,L,0,995,0
9185,32,8,1-32-2018-008-04,F,4,1,-4,1,5,86,0,2017,34,5,48,19,L,0,995,0
9185,32,8,1-32-2018-008-04,R,4,2,-1,-5,5,87,0,2007,15,3,48,66,L,0,995,0
9191,22,4,1-22-2018-004-04,R,4,1,0,-11,11,90,0,1994,4,1,40,17,L,0,995,0
9191,22,4,1-22-2018-004-04,L,4,2,-11,2,11,90,0,2014,5,1,40,17,L,0,995,0
9192,12,5,1-12-2018-005-07,F,7,1,999,999,999,7,1,2009,4,1,113,9,B,0,995,0
9193,21,5,1-21-2018-005-06,F,6,1,-19,-16,25,88,0,1996,4,1,56,17,L,0,995,0
9193,21,5,1-21-2018-005-06,L,6,2,-14,17,22,89,0,2010,4,1,48,66,L,0,995,0
9194,20,6,1-20-2018-006-06,B,6,1,22,-13,26,2,1,2012,4,1,105,6,A,0,995,0
9196,14,4,1-14-2018-004-03,F,3,1,999,999,999,20,0,2016,67,8,72,50,D,0,995,0
9196,14,4,1-14-2018-004-03,B,3,2,999,999,999,21,0,2013,2,1,72,53,D,0,995,0
9196,14,4,1-14-2018-004-03,B,3,3,999,999,999,98,0,9999,9,1,72,53,M,0,995,0
9196,14,4,1-14-2018-004-03,B,3,4,16,0,16,98,0,2008,4,1,72,53,M,0,995,0
9203,24,7,1-24-2018-007-09,F,9,1,-14,3,15,20,0,2003,6,1,80,50,D,0,995,0
9203,24,7,1-24-2018-007-09,B,9,2,12,-2,12,21,0,2002,34,5,80,53,D,0,995,0
9204,24,8,1-24-2018-008-07,F,7,1,-11,-2,11,2,1,2010,2,1,64,5,A,0,995,0
9205,24,9,1-24-2018-009-04,F,4,1,999,999,999,88,0,2018,14,3,56,66,L,0,995,0
9205,24,9,1-24-2018-009-04,L,4,2,999,999,999,89,0,1996,16,3,56,17,L,0,995,0
9206,23,8,1-23-2018-008-04,B,4,1,17,0,17,25,0,2016,4,1,72,53,D,0,995,0
9206,23,8,1-23-2018-008-04,F,4,2,-17,0,17,24,0,2017,14,3,72,51,D,0,995,0
9207,23,9,1-23-2018-009-05,F,5,1,-37,13,39,69,0,2013,4,1,89,62,J,0,995,0
9207,23,9,1-23-2018-009-05,R,5,2,-9,-26,27,68,0,2011,14,3,89,15,J,1,0,2
9208,23,10,1-23-2018-010-08,F,8,1,-10,0,10,24,0,2014,4,1,89,51,D,0,995,0
9208,23,10,1-23-2018-010-08,B,8,2,13,-1,13,25,0,2003,4,1,89,53,D,0,995,0
9209,52,3,1-52-2018-003-08,F,8,1,-20,-23,31,68,0,1992,6,1,56,15,J,2,0,2
9209,52,3,1-52-2018-003-08,F,8,2,-26,0,26,69,0,2003,4,1,56,62,J,0,995,0
9210,10,8,1-10-2018-008-05,L,5,1,-19,16,24,1,1,2011,5,1,89,13,A,0,995,0
9212,59,7,1-59-2018-007-05,R,5,1,-12,-15,19,68,0,2011,5,1,48,15,J,0,995,0
9212,59,7,1-59-2018-007-05,F,5,2,-11,4,11,69,0,1998,14,3,48,62,J,0,995,0
9213,32,9,1-32-2018-009-01,F,1,1,-76,-44,88,14,1,2017,21,4,89,14,C,1,0,3
9214,32,10,1-32-2018-010-02,F,2,1,999,999,999,6,1,2017,21,4,56,12,B,2,0,2
9216,12,6,1-12-2018-006-04,L,4,1,-10,17,20,89,0,2012,14,3,56,17,L,0,995,0
9216,12,6,1-12-2018-006-04,F,4,2,-10,-8,13,88,0,2016,15,3,56,66,L,0,995,0
9218,28,5,1-28-2018-005-10,F,10,1,-10,4,11,82,0,2008,4,1,72,15,K,0,995,0
9218,28,5,1-28-2018-005-10,R,10,2,-11,-6,13,83,0,2005,4,1,72,72,K,0,995,0
9219,28,6,1-28-2018-006-09,F,9,1,999,999,999,1,1,1999,34,5,89,13,A,1,0,2
9220,25,5,1-25-2018-005-06,F,6,1,999,999,999,86,0,1992,34,5,48,5,L,0,995,0
9220,25,5,1-25-2018-005-06,R,6,2,999,999,999,87,0,2011,4,1,48,68,L,0,995,0
9221,14,5,1-14-2018-005-05,F,5,1,999,999,999,50,1,2001,15,3,72,10,G,1,0,2
9221,14,5,1-14-2018-005-05,F,5,2,999,999,999,51,0,2010,15,3,72,62,G,1,0,2
9222,16,7,1-16-2018-007-01,L,1,1,999,999,999,7,1,2007,4,1,89,6,B,2,163,3
9223,16,8,1-16-2018-008-09,F,9,1,999,999,999,2,1,2006,4,1,105,5,A,0,995,0
9224,16,9,1-16-2018-009-03,L,3,1,-7,12,13,89,0,2017,14,3,40,17,L,0,995,0
9224,16,9,1-16-2018-009-03,F,3,2,-10,-6,11,88,0,2005,20,4,40,66,L,0,995,0
9227,19,8,1-19-2018-008-05,R,5,1,999,999,999,1,1,2013,34,5,72,13,A,0,0,2
9228,19,9,1-19-2018-009-05,F,5,1,-58,-10,59,1,1,2012,14,3,80,13,A,0,995,0
9229,13,10,1-13-2018-010-02,F,2,1,-23,0,23,7,1,2017,4,1,97,5,B,0,995,0
9230,13,11,1-13-2018-011-02,F,2,1,999,999,999,3,1,2014,4,1,48,50,A,0,995,0
9231,13,12,1-13-2018-012-03,L,3,1,20,24,31,78,0,2009,34,5,72,16,K,0,995,0
9231,13,12,1-13-2018-012-03,F,3,2,-37,0,37,79,0,2016,14,3,72,65,K,0,995,0
9232,31,3,1-31-2018-003-07,F,7,1,999,999,999,14,0,2013,20,4,89,14,C,0,995,0
9234,17,9,1-17-2018-009-08,T,8,1,999,999,999,2,1,2005,14,3,89,5,A,0,995,0
9235,17,10,1-17-2018-010-03,F,3,1,-21,0,21,11,1,2015,4,1,48,13,C,0,146,1
9235,17,10,1-17-2018-010-03,B,3,2,999,999,999,99,99,1998,2,1,999,99,N,9,999,8
9236,17,11,1-17-2018-011-06,R,6,1,-10,-17,19,87,0,2014,4,1,48,17,L,0,995,0
9236,17,11,1-17-2018-011-06,F,6,2,-15,8,17,86,0,2012,4,1,48,66,L,0,995,0
9237,30,5,1-30-2018-005-09,F,9,1,999,999,999,3,1,2001,4,1,105,13,A,9,998,8
9238,30,6,1-30-2018-006-03,F,3,1,-27,0,27,28,0,2005,4,1,105,52,D,0,995,0
9238,30,6,1-30-2018-006-03,F,3,2,-32,0,32,29,0,2014,4,1,105,53,D,0,995,0
9238,30,6,1-30-2018-006-03,B,3,3,19,0,19,98,0,2004,34,5,105,53,M,0,995,0
9239,76,2,1-76-2018-002-02,F,2,1,999,999,999,1,1,2017,34,5,89,98,A,0,995,0
9240,27,5,1-27-2018-005-06,F,6,1,-20,4,21,7,1,2010,4,1,72,10,B,0,995,0
9241,22,5,1-22-2018-005-02,L,2,1,0,12,12,98,1,2015,4,1,105,21,M,0,23,1
9241,22,5,1-22-2018-005-02,F,2,2,-13,5,14,98,0,2013,4,1,105,61,M,0,995,0
9242,18,5,1-18-2018-005-06,B,6,1,9,3,10,2,1,2010,4,1,80,5,A,0,995,0
9243,33,7,1-33-2018-007-06,F,6,1,999,999,999,2,1,2011,5,1,89,5,A,0,995,0
9244,33,8,1-33-2018-008-06,F,6,1,-13,0,13,1,1,2011,6,1,48,13,A,0,995,0
9245,33,9,1-33-2018-009-03,F,3,1,-40,0,40,20,0,2005,14,3,56,50,D,0,995,0
9245,33,9,1-33-2018-009-03,B,3,2,52,0,52,21,0,2014,4,1,56,53,D,0,995,0
9245,33,9,1-33-2018-009-03,B,3,3,35,0,35,98,0,2010,4,1,56,53,M,0,995,0
9246,29,7,1-29-2018-007-07,F,7,1,-15,9,18,98,0,2013,34,5,48,55,M,0,995,0
9246,29,7,1-29-2018-007-07,T,7,2,999,999,999,98,0,1997,4,1,56,66,M,0,995,0
9247,15,7,1-15-2018-007-02,F,2,1,999,999,999,6,1,2015,4,1,64,12,B,1,0,2
9248,15,8,1-15-2018-008-02,F,2,1,-23,-19,30,88,0,2018,4,1,48,17,L,0,995,0
9248,15,8,1-15-2018-008-02,F,2,2,999,999,999,89,0,2016,14,3,48,66,L,0,995,0
9249,15,9,1-15-2018-009-01,F,1,1,-56,0,56,6,1,2010,4,1,48,12,B,2,0,2
9250,21,6,1-21-2018-006-07,9,7,1,999,999,999,68,1,9999,99,10,72,15,J,0,995,0
9250,21,6,1-21-2018-006-07,F,7,2,999,999,999,69,0,2009,4,1,72,62,J,0,995,0
9253,20,7,1-20-2018-007-07,F,7,1,999,999,999,12,1,2013,14,3,40,11,C,0,995,0
9254,20,8,1-20-2018-008-03,F,3,1,999,999,999,28,0,2016,4,1,40,52,D,0,995,0
9254,20,8,1-20-2018-008-03,B,3,2,999,999,999,29,0,2003,14,3,40,53,D,0,995,0
9254,20,8,1-20-2018-008-03,9,3,3,999,999,999,98,0,9999,34,5,40,53,M,0,995,0
9255,20,9,1-20-2018-009-01,F,1,1,999,999,999,1,1,1994,3,1,72,13,A,1,210,3
9259,19,10,1-19-2018-010-09,F,9,1,999,999,999,1,1,1997,4,1,56,13,A,0,995,0
9260,59,8,1-59-2018-008-10,B,10,1,19,0,19,22,0,2015,14,3,48,53,D,0,995,0
9260,59,8,1-59-2018-008-10,F,10,2,-19,3,19,20,0,2002,2,1,48,50,D,0,995,0
9261,66,3,1-66-2018-003-06,L,6,1,-4,10,10,89,0,2005,6,1,40,17,L,0,995,0
9261,66,3,1-66-2018-003-06,F,6,2,-8,-3,8,88,0,2009,6,1,40,66,L,0,995,0
9264,32,12,1-32-2018-012-06,F,6,1,-32,0,32,20,0,2011,4,1,105,50,D,1,0,2
9264,32,12,1-32-2018-012-06,B,6,2,19,0,19,21,0,2015,34,5,105,53,D,0,995,0
9265,26,7,1-26-2018-007-02,R,2,1,999,999,999,98,0,2016,6,1,48,21,M,0,995,0
9265,26,7,1-26-2018-007-02,F,2,2,999,999,999,98,0,1995,80,9,48,62,M,0,995,0
9266,21,8,1-21-2018-008-03,F,3,1,-34,19,39,77,0,2014,4,1,64,11,K,0,995,0
9266,21,8,1-21-2018-008-03,R,3,2,0,-22,22,76,0,2014,21,4,64,66,K,0,995,0
9272,24,10,1-24-2018-010-09,F,9,1,-44,0,44,3,1,2001,34,5,72,13,A,0,995,0
9273,23,11,1-23-2018-011-03,F,3,1,-25,0,25,24,0,2003,39,5,89,51,D,0,995,0
9273,23,11,1-23-2018-011-03,B,3,2,27,0,27,25,0,2016,20,4,89,53,D,0,995,0
9274,23,12,1-23-2018-012-07,B,7,1,14,2,14,25,0,2011,5,1,89,53,D,0,995,0
9274,23,12,1-23-2018-012-07,F,7,2,-13,-2,13,24,0,2007,5,1,89,51,D,3,995,0
9275,23,13,1-23-2018-013-09,F,9,1,-24,4,25,7,1,2006,4,1,89,5,B,0,995,0
9276,16,10,1-16-2018-010-03,B,3,1,24,0,24,98,0,2010,4,1,56,52,M,0,995,0
9276,16,10,1-16-2018-010-03,B,3,2,20,0,20,21,0,2014,4,1,56,53,D,0,995,0
9276,16,10,1-16-2018-010-03,F,3,3,-29,0,29,20,0,2017,4,1,56,50,D,0,995,0
9277,16,11,1-16-2018-011-03,F,3,1,-21,0,22,20,0,2013,4,1,89,50,D,0,995,0
9277,16,11,1-16-2018-011-03,B,3,2,18,0,18,21,0,2018,15,3,89,53,D,0,995,0
9278,52,4,1-52-2018-004-06,L,6,1,999,999,999,84,1,1994,20,4,56,10,K,9,998,8
9278,52,4,1-52-2018-004-06,L,6,2,999,999,999,84,0,2013,4,1,56,67,K,9,998,8
9280,32,14,1-32-2018-014-02,B,2,1,17,3,18,98,0,2006,4,1,105,53,M,0,995,0
9280,32,14,1-32-2018-014-02,B,2,2,45,0,45,98,0,2014,5,1,105,53,M,0,995,0
9280,32,14,1-32-2018-014-02,B,2,3,999,999,999,21,0,2015,4,1,105,53,D,0,995,0
9280,32,14,1-32-2018-014-02,F,2,4,999,999,999,20,0,2014,34,5,105,50,D,0,995,0
9281,32,15,1-32-2018-015-07,F,7,1,-17,0,17,20,0,2009,14,3,56,50,D,0,995,0
9281,32,15,1-32-2018-015-07,B,7,2,19,0,19,21,0,2001,34,5,56,53,D,0,995,0
9281,32,15,1-32-2018-015-07,B,7,3,999,999,999,98,0,2015,4,1,56,53,M,0,995,0
9282,59,9,1-59-2018-009-07,F,7,1,-8,0,8,20,0,2007,6,1,56,50,D,0,995,0
9282,59,9,1-59-2018-009-07,B,7,2,18,0,18,21,0,2009,1,1,56,53,D,0,995,0
9283,76,3,1-76-2018-003-02,R,2,1,999,999,999,2,1,2017,14,3,999,5,A,0,995,0
9285,32,16,1-32-2018-016-06,F,6,1,999,999,999,6,1,2012,34,5,56,12,B,0,995,0
9286,10,9,1-10-2018-009-02,L,2,1,-15,26,30,82,0,2017,5,1,0,15,K,0,995,0
9286,10,9,1-10-2018-009-02,F,2,2,-24,4,24,83,0,2010,4,1,56,72,K,0,995,0
9287,12,7,1-12-2018-007-10,R,10,1,-22,-4,22,6,1,2005,34,5,72,12,B,0,995,0
9288,12,8,1-12-2018-008-07,F,7,1,999,999,999,1,1,2010,4,1,56,13,A,0,995,0
9289,19,11,1-19-2018-011-05,T,5,1,999,999,999,48,0,2009,4,1,113,51,F,2,0,2
9289,19,11,1-19-2018-011-05,L,5,2,8,1,8,48,0,2010,4,1,113,53,F,0,995,0
9290,19,12,1-19-2018-012-06,L,6,1,-15,13,20,89,1,2006,4,1,72,17,L,0,995,0
9290,19,12,1-19-2018-012-06,F,6,2,-5,-14,15,88,0,2013,4,1,72,17,L,0,995,0
9290,19,12,1-19-2018-012-06,F,6,3,-25,4,26,98,0,2011,20,4,56,15,M,0,995,0
9291,19,13,1-19-2018-013-01,F,1,1,-15,0,15,1,1,1980,34,5,40,13,A,0,995,0
9293,31,4,1-31-2018-004-05,L,5,1,-13,35,37,82,0,2002,16,3,64,15,K,0,995,0
9293,31,4,1-31-2018-004-05,F,5,2,-44,-8,45,83,0,2013,34,5,64,67,K,0,995,0
9294,29,8,1-29-2018-008-04,B,4,1,999,999,999,21,0,2007,4,1,56,53,D,0,995,0
9294,29,8,1-29-2018-008-04,F,4,2,999,999,999,20,0,2016,14,3,56,50,D,0,995,0
9294,29,8,1-29-2018-008-04,B,4,3,999,999,999,98,0,2006,62,8,56,51,M,0,995,0
9295,26,8,1-26-2018-008-09,F,9,1,-40,0,40,1,1,1997,34,5,64,13,A,0,340,2
9296,26,9,1-26-2018-009-07,B,7,1,10,0,10,6,1,2011,14,3,105,12,B,9,995,0
9297,26,10,1-26-2018-010-06,F,6,1,999,999,999,82,0,2010,5,1,72,11,K,0,995,0
9297,26,10,1-26-2018-010-06,F,6,2,999,999,999,83,0,2001,2,1,72,72,K,0,0,2
9298,17,12,1-17-2018-012-02,F,2,1,-17,10,20,86,0,2016,6,1,72,17,L,0,995,0
9298,17,12,1-17-2018-012-02,R,2,2,-8,-21,22,87,0,2017,4,1,72,66,L,3,0,2
9299,17,13,1-17-2018-013-04,F,4,1,-9,8,12,80,0,2018,4,1,48,15,K,0,995,0
9299,17,13,1-17-2018-013-04,F,4,2,-7,-4,8,81,0,2014,14,3,48,66,K,0,995,0
9300,66,4,1-66-2018-004-07,F,7,1,999,999,999,48,0,2018,66,8,113,52,F,9,998,8
9300,66,4,1-66-2018-004-07,L,7,2,999,999,999,48,1,2012,34,5,113,5,F,9,998,8
9301,13,13,1-13-2018-013-03,R,3,1,-25,-21,33,68,0,2010,4,1,72,15,J,0,995,0
9301,13,13,1-13-2018-013-03,F,3,2,-35,20,41,69,0,2014,4,1,72,62,J,0,995,0
9302,13,14,1-13-2018-014-03,R,3,1,999,999,999,79,0,2008,14,3,40,65,K,0,995,0
9302,13,14,1-13-2018-014-03,L,3,2,999,999,999,78,0,2016,4,1,40,16,K,0,995,0
9303,13,15,1-13-2018-015-03,R,3,1,-6,-7,9,68,0,2014,4,1,72,15,J,0,995,0
9303,13,15,1-13-2018-015-03,F,3,2,-10,2,10,69,0,2014,4,1,72,62,J,0,995,0
9304,27,6,1-27-2018-006-09,R,9,1,-1,-6,6,76,0,2002,2,1,48,17,K,0,995,0
9304,27,6,1-27-2018-006-09,L,9,2,-2,6,6,77,0,2009,4,1,48,66,K,0,995,0
9305,25,6,1-25-2018-006-01,F,1,1,-42,0,42,1,1,2003,20,4,48,99,A,0,0,3
9306,22,6,1-22-2018-006-08,T,8,1,999,999,999,2,1,2005,4,1,105,13,A,0,995,0
9307,22,7,1-22-2018-007-10,R,10,1,999,999,999,2,1,2003,4,1,105,6,A,0,995,0
9308,18,6,1-18-2018-006-07,L,7,1,999,999,999,65,0,2009,14,3,89,62,I,0,995,0
9308,18,6,1-18-2018-006-07,F,7,2,999,999,999,64,1,2003,34,5,89,10,I,0,997,8
9309,18,7,1-18-2018-007-06,B,6,1,8,0,8,29,0,2007,34,5,105,53,D,0,995,0
9309,18,7,1-18-2018-007-06,F,6,2,-24,-20,32,28,1,2005,34,5,105,52,D,0,995,0
9309,18,7,1-18-2018-007-06,F,6,3,-32,-6,33,98,0,2010,6,1,105,52,M,0,995,0
9311,30,8,1-30-2018-008-06,F,6,1,-4,1,4,46,1,2001,4,1,105,11,F,0,995,0
9311,30,8,1-30-2018-008-06,L,6,2,27,10,28,45,0,2011,2,1,105,60,F,0,995,0
9312,21,9,1-21-2018-009-04,F,4,1,-14,0,14,20,0,2014,20,4,105,50,D,0,995,0
9312,21,9,1-21-2018-009-04,B,4,2,18,0,18,21,0,2017,4,1,105,53,D,0,995,0
9312,21,9,1-21-2018-009-04,B,4,3,12,0,12,98,0,2018,6,1,105,53,M,0,995,0
9313,21,10,1-21-2018-010-05,F,5,1,-32,18,37,86,0,2010,20,4,64,17,L,2,0,2
9313,21,10,1-21-2018-010-05,R,5,2,-20,-34,39,87,0,2013,14,3,40,66,L,1,0,2
9313,21,10,1-21-2018-010-05,B,5,3,999,999,999,99,99,2000,14,3,999,99,N,9,999,8
9313,21,10,1-21-2018-010-05,B,5,4,999,999,999,99,99,2014,34,5,999,99,N,9,999,8
9314,15,10,1-15-2018-010-06,L,6,1,6,5,7,98,1,2005,4,1,64,53,M,0,995,0
9314,15,10,1-15-2018-010-06,F,6,2,-8,1,9,98,0,2009,4,1,64,60,M,0,995,0
9315,15,11,1-15-2018-011-05,F,5,1,999,999,999,24,0,2011,6,1,64,51,D,1,329,2
9315,15,11,1-15-2018-011-05,B,5,2,999,999,999,25,0,2012,4,1,64,53,D,0,995,0
9316,20,10,1-20-2018-010-04,F,4,1,999,999,999,82,0,2016,4,1,40,66,K,0,995,0
9316,20,10,1-20-2018-010-04,F,4,2,999,999,999,83,0,1998,34,5,89,66,K,0,995,0
9317,20,11,1-20-2018-011-03,F,3,1,-12,-2,13,11,1,2014,4,1,40,11,C,0,995,0
9317,20,11,1-20-2018-011-03,L,3,2,999,999,999,99,99,2004,34,5,999,99,N,9,999,8
9318,20,12,1-20-2018-012-02,L,2,1,-15,27,31,89,0,1994,2,1,999,66,L,0,300,1
9318,20,12,1-20-2018-012-02,F,2,2,-16,-6,17,88,0,2014,15,3,56,66,L,1,0,2
9319,33,10,1-33-2018-010-06,F,6,1,-23,-4,24,20,0,2009,4,1,89,50,D,0,995,0
9319,33,10,1-33-2018-010-06,B,6,2,18,0,18,21,0,2010,4,1,89,53,D,0,995,0
9319,33,10,1-33-2018-010-06,B,6,3,999,999,999,98,0,2005,34,5,89,50,M,0,995,0
9319,33,10,1-33-2018-010-06,F,6,4,999,999,999,98,0,2012,14,3,89,50,M,0,995,0
9320,33,11,1-33-2018-011-05,F,5,1,999,999,999,3,1,2009,34,5,40,60,A,2,995,0
9324,30,9,1-30-2018-009-03,R,3,1,-2,-11,11,68,0,2008,20,4,72,15,J,0,995,0
9324,30,9,1-30-2018-009-03,F,3,2,-18,-6,19,69,0,2016,4,1,72,60,J,0,995,0
9327,24,11,1-24-2018-011-06,F,6,1,-10,-2,10,88,0,2014,20,4,40,66,L,0,995,0
9327,24,11,1-24-2018-011-06,L,6,2,-2,13,13,89,0,2010,4,1,40,17,L,0,995,0
9328,24,12,1-24-2018-012-09,F,9,1,-17,3,17,83,0,2003,4,1,40,72,K,1,995,0
9328,24,12,1-24-2018-012-09,L,9,2,2,14,14,82,0,2001,20,4,40,15,K,0,995,0
9329,24,13,1-24-2018-013-10,F,10,1,-21,-8,22,7,1,2002,14,3,80,5,B,0,995,0
