CASEID,PSU,CASENO,CASENUMBER,DAMPLANE,CATEGORY,VEHNO,DVLONG,DVLAT,DVTOTAL,CRASHTYPE,PREFHE,MODELYR,BODYTYPE,BODYCAT,SPEEDLIMIT,CRITEVENT,CRASHCONF,DRUGTEST,ALCTESTRESULT,ALCTESTSRC
6112,19,5,1-19-2017-005-03,9,3,1,999,999,999,82,1,9999,9,1,40,10,K,0,995,0
6112,19,5,1-19-2017-005-03,F,3,2,999,999,999,83,0,2014,4,1,56,67,K,0,995,0
6155,30,2,1-30-2017-002-05,F,5,1,999,999,999,6,1,2008,4,1,64,10,B,9,995,0
6149,25,2,1-25-2017-002-10,B,10,1,999,999,999,98,0,2015,34,5,40,53,M,0,995,0
6149,25,2,1-25-2017-002-10,F,10,2,999,999,999,21,0,2003,34,5,40,53,D,0,995,0
6149,25,2,1-25-2017-002-10,F,10,3,999,999,999,20,0,1995,4,1,40,50,D,0,995,0
6151,25,3,1-25-2017-003-06,F,6,1,999,999,999,50,1,2008,34,5,56,10,G,0,995,0
6151,25,3,1-25-2017-003-06,F,6,2,999,999,999,51,0,2002,4,1,56,62,G,0,995,0
6164,28,2,1-28-2017-002-06,F,6,1,999,999,999,7,1,2010,4,1,113,5,B,0,995,0
6165,23,4,1-23-2017-004-06,F,6,1,999,999,999,7,1,2008,14,3,72,5,B,0,995,0
6166,23,5,1-23-2017-005-04,F,4,1,999,999,999,7,1,2014,4,1,113,6,B,0,995,0
6170,32,4,1-32-2017-004-03,F,3,1,-15,0,15,24,0,2009,5,1,97,51,D,0,995,0
6170,32,4,1-32-2017-004-03,B,3,2,10,0,10,25,0,2014,5,1,97,53,D,0,995,0
6174,16,4,1-16-2017-004-02,L,2,1,-2,11,11,82,0,2015,4,1,56,15,K,0,995,0
6174,16,4,1-16-2017-004-02,F,2,2,-10,-6,11,83,0,2007,6,1,56,67,K,0,995,0
6175,16,5,1-16-2017-005-09,L,9,1,-5,14,15,68,0,2002,34,5,40,15,J,0,995,0
6175,16,5,1-16-2017-005-09,F,9,2,-17,-10,20,69,0,2003,6,1,40,17,J,0,995,0
6177,31,2,1-31-2017-002-10,F,10,1,-12,4,12,86,0,1989,4,1,0,17,L,0,995,0
6177,31,2,1-31-2017-002-10,R,10,2,-5,-13,14,87,0,2001,4,1,40,71,L,0,995,0
6185,12,2,1-12-2017-002-06,F,6,1,999,999,999,7,1,2008,14,3,72,5,B,0,995,0
6185,12,2,1-12-2017-002-06,F,6,2,999,999,999,98,0,2001,14,3,72,62,M,0,995,0
6183,17,5,1-17-2017-005-04,F,4,1,999,999,999,13,0,2016,4,1,113,87,C,0,995,0
6184,17,6,1-17-2017-006-04,L,4,1,999,999,999,7,1,2014,4,1,32,5,B,0,995,0
6182,17,4,1-17-2017-004-09,F,9,1,-31,5,31,84,1,2002,4,1,48,17,K,0,995,0
6182,17,4,1-17-2017-004-09,F,9,2,-34,-6,35,84,0,2001,14,3,48,67,K,1,0,2
6176,14,2,1-14-2017-002-06,R,6,1,999,999,999,87,0,2015,34,5,56,17,L,0,995,0
6176,14,2,1-14-2017-002-06,F,6,2,-21,12,24,86,0,2009,2,1,56,55,L,0,995,0
6191,29,2,1-29-2017-002-05,F,5,1,-37,0,37,1,1,2012,4,1,48,13,A,1,0,2
6197,21,3,1-21-2017-003-10,F,10,1,999,999,999,1,1,1999,4,1,40,13,A,0,995,0
6195,24,2,1-24-2017-002-02,F,2,1,-19,-3,19,68,0,2014,4,1,64,15,J,0,995,0
6195,24,2,1-24-2017-002-02,F,2,2,-20,4,21,69,0,2015,14,3,64,62,J,0,995,0
6192,26,2,1-26-2017-002-09,B,9,1,999,999,999,30,1,1998,4,1,56,53,D,9,995,0
6188,19,8,1-19-2017-008-08,B,8,1,999,999,999,2,1,2003,4,1,89,6,A,0,995,0
6192,26,2,1-26-2017-002-09,F,9,2,999,999,999,28,0,2005,4,1,56,52,D,9,995,0
6186,19,6,1-19-2017-006-04,L,4,1,999,999,999,89,0,2014,14,3,56,17,L,0,995,0
6186,19,6,1-19-2017-006-04,F,4,2,999,999,999,88,0,1999,21,4,40,66,L,0,995,0
6187,19,7,1-19-2017-007-05,R,5,1,-10,-28,30,68,0,2000,34,5,72,15,J,0,995,0
6189,19,9,1-19-2017-009-05,F,5,1,999,999,999,6,1,2008,4,1,113,12,B,0,995,0
6187,19,7,1-19-2017-007-05,F,5,2,-33,6,33,69,0,2010,4,1,72,62,J,0,995,0
6196,24,3,1-24-2017-003-03,F,3,1,-32,0,32,89,0,2000,20,4,40,17,L,0,995,0
6196,24,3,1-24-2017-003-03,F,3,2,-23,-8,24,88,0,2013,4,1,40,55,L,0,995,0
6203,33,2,1-33-2017-002-03,T,3,1,999,999,999,2,1,2017,34,5,72,6,A,0,995,0
6204,33,3,1-33-2017-003-09,F,9,1,-13,2,13,7,1,2006,2,1,105,6,B,0,995,0
6199,22,4,1-22-2017-004-07,F,7,1,-15,0,15,3,1,2012,4,1,97,5,A,9,995,0
6200,22,5,1-22-2017-005-04,F,4,1,-19,5,11,7,1,2013,6,1,89,6,B,9,995,0
6198,22,3,1-22-2017-003-09,F,9,1,-14,0,14,20,0,2006,34,5,40,50,D,2,0,2
6180,13,5,1-13-2017-005-03,L,3,1,-8,14,16,69,0,2001,14,3,64,17,J,0,995,0
